80932	144	150559	9
80932	186	150559	9
80932	43	150559	9
80932	204889	150559	9
80932	204830	150559	9
80932	205116	150559	9
81902	516427	151626	30
81902	538255	151626	30
81902	538578	151626	30
81902	627280	151626	30
81902	650063	151626	30
81902	68035	151626	30
81902	716270	151626	30
81902	837927	151626	30
81902	894310	151626	30
81902	970951	151626	30
81902	106024	151626	30
81902	108778	151626	30
81902	124726	151626	30
81902	128567	151626	30
81902	134962	151626	30
81902	142359	151626	30
81902	1663	151626	30
81902	183561	151626	30
81902	200374	151626	30
81902	249802	151626	30
81902	276990	151626	30
81902	280288	151626	30
81902	306774	151626	30
81902	321959	151626	30
81902	405515	151626	30
81902	516427	151627	30
81902	538255	151627	30
81902	538578	151627	30
81902	627280	151627	30
81902	650063	151627	30
81902	68035	151627	30
81902	716270	151627	30
81902	837927	151627	30
81902	894310	151627	30
81902	970951	151627	30
81902	106024	151627	30
81902	108778	151627	30
81902	124726	151627	30
81902	128567	151627	30
81902	134962	151627	30
81902	142359	151627	30
81902	1663	151627	30
81902	183561	151627	30
81902	200374	151627	30
81902	249802	151627	30
81902	276990	151627	30
81902	280288	151627	30
81902	306774	151627	30
81902	321959	151627	30
81902	405515	151627	30
81902	516427	151628	30
81902	538255	151628	30
81902	538578	151628	30
81902	627280	151628	30
81902	650063	151628	30
81902	68035	151628	30
81902	716270	151628	30
81902	837927	151628	30
81902	894310	151628	30
81902	970951	151628	30
81902	106024	151628	30
81902	108778	151628	30
81902	124726	151628	30
81902	128567	151628	30
81902	134962	151628	30
81902	142359	151628	30
81902	1663	151628	30
81902	183561	151628	30
81902	200374	151628	30
81902	249802	151628	30
81902	276990	151628	30
81902	280288	151628	30
81902	306774	151628	30
81902	321959	151628	30
81902	405515	151628	30
81903	848487	151629	213
81903	848979	151629	213
81903	970951	151629	213
81903	109588	151629	213
81903	156181	151629	213
81903	234429	151629	213
81903	427005	151629	213
81903	432717	151629	213
81903	449165	151629	213
81904	538578	151630	213
81904	827292	151630	213
81904	838380	151630	213
81904	101280	151630	213
81904	165366	151630	213
81904	272154	151630	213
81904	299898	151630	213
81904	300945	151630	213
81904	327790	151630	213
81904	358552	151630	213
81904	482676	151630	213
81905	737970	151631	213
81905	1356	151631	213
81905	135134	151631	213
81905	184284	151631	213
81905	236111	151631	213
81905	270508	151631	213
81905	275303	151631	213
81905	314450	151631	213
81905	453055	151631	213
81906	485	151632	88
81906	504973	151632	88
81906	561235	151632	88
81906	594458	151632	88
81906	637577	151632	88
81906	649037	151632	88
81906	660816	151632	88
81906	704847	151632	88
81906	759696	151632	88
81906	771704	151632	88
81906	804492	151632	88
81906	805001	151632	88
81906	805376	151632	88
81906	815566	151632	88
81906	848984	151632	88
81906	981554	151632	88
81906	1088	151632	88
81906	1328	151632	88
81906	105867	151632	88
81906	109588	151632	88
81906	113159	151632	88
81906	118561	151632	88
81906	140706	151632	88
81906	141445	151632	88
81906	1656	151632	88
81906	183981	151632	88
81906	204937	151632	88
81906	204755	151632	88
81906	205267	151632	88
81906	218157	151632	88
81906	239989	151632	88
81906	240541	151632	88
81906	261905	151632	88
81906	264144	151632	88
81906	275904	151632	88
81906	282335	151632	88
81906	298296	151632	88
81906	317466	151632	88
81906	341812	151632	88
81906	359347	151632	88
81906	397107	151632	88
81906	413685	151632	88
81906	442227	151632	88
81906	446035	151632	88
81906	446700	151632	88
81906	446940	151632	88
81906	449744	151632	88
81906	472335	151632	88
81907	516146	151633	30
81907	549592	151633	30
81907	748831	151633	30
81907	761026	151633	30
81907	1081553	151633	30
81907	111181	151633	30
81907	137206	151633	30
81907	162564	151633	30
81907	171231	151633	30
81907	211458	151633	30
81907	226593	151633	30
81907	238945	151633	30
81907	253541	151633	30
81907	261561	151633	30
81907	284260	151633	30
81907	307946	151633	30
81907	321073	151633	30
81907	325329	151633	30
81907	334938	151633	30
81907	352909	151633	30
81907	393419	151633	30
81907	516146	151634	30
81907	549592	151634	30
81907	748831	151634	30
81907	761026	151634	30
81907	1081553	151634	30
81907	111181	151634	30
81907	137206	151634	30
81907	162564	151634	30
81907	171231	151634	30
81907	211458	151634	30
81907	226593	151634	30
81907	238945	151634	30
81907	253541	151634	30
81907	261561	151634	30
81907	284260	151634	30
81907	307946	151634	30
81907	321073	151634	30
81907	325329	151634	30
